MaxBHP,MinBHP,AvgBHP,MaxGOR,MinGOR,AvgGOR,MaxWaterCut,MinWaterCut,AvgWaterCut,MaxOilRate,MinOilRate,AvgOilRate,TotalOilProduction,TotalGasProduction,TotalWaterProduction,ActiveTime,NearestWellDistance,X,Y,Permeability,Porosity,h,TopDepth
0.048784587,0.029406656,0.449041889,0.028623923,0.0627097,0.042914443,0.152217217,0,0.01663541,0.584617408,0.007309831,0.572178878,0.865150181,0.751660662,0.565897756,0.744849445,0.039278029,0.664690248,0.655606154,0.171000584,0.486716789,0.851952003,0.044326241
0.387503795,0.019871562,0.569823846,0.069597654,0.0708018,0.050695945,0.199320827,0.103557727,0.113751337,0.248493162,0.000712309,0.15464107,0.133907606,0.180400805,0.192206346,0.460468392,0.158670111,0.187369296,0.526142564,0.171374302,0.560818468,0.768463749,0.385283688
0.255708431,0.029751646,0.576101789,0.04410541,0.076456701,0.051281379,0.187302658,0.029245255,0.163664714,0.516350451,0.00108075,0.468976287,0.284264499,0.306726773,0.213307916,0.25215707,0.105439221,0.397327952,0.182323077,0.027739624,0.410665146,0.625823897,0.270212766
0.451952685,0.496178161,0.772909925,0.030679167,0.070954979,0.048734221,0.017361887,0.125534154,0.064943192,0.928515822,2.19E-05,0.661144079,0.532730261,0.49984402,0.607860552,0.402535658,0.236513201,0.344029181,0.053516923,0.153958882,0.508149285,0.410174075,0.471099291
0.605446049,0.46294917,0.844759898,0.066595883,0.077860334,0.053978466,0.11113467,0.217183522,0.167679627,0.086726331,0.002436606,0.143502709,0.074791471,0.095947266,0.132685359,0.275840817,0.329137194,0.664578685,0.912256923,0.04083602,0.433793965,0.511238803,0.614007092
0.297261255,0.137422564,0.548142028,0.035035955,0.072518991,0.049080137,0.143640106,0.089106783,0.097385564,0.650958274,0.024645311,0.41992804,0.438401096,0.430669803,0.441102964,0.514439162,0.173781785,0.821781074,0.611398974,0.199638673,0.510812895,0.671455129,0.293617021
0.288018259,0.029751646,0.535503937,0.062178588,0.059058236,0.041403065,0.14310065,0.092219868,0.159641465,0.25295107,0.038170311,0.147172259,0.063579789,0.080874784,0.062569673,0.18497975,0.245075052,0.398146082,0.354127692,0.028390847,0.309463096,0.501436539,0.332092199
0.374151596,0.164411089,0.562249395,0.023785334,0.053027698,0.033392457,0.17137921,0.197967639,0.194831228,0.182698454,0.018951615,0.05075455,0.056283264,0.048851614,0.064413371,0.442243353,0.005966815,0.821381852,0.525552821,0.024276239,0.318552143,0.579178638,0.37570922
0.049421568,0.02920444,0.445594832,0.028623923,0.052382669,0.042872669,0.117190442,0.000123538,0,0.531813487,0.000513212,0.306628753,0.526032295,0.479122831,0.290486678,0.843722486,0.184567195,0.398826399,0.482931282,0.18622052,0.767469404,0.722832516,0.065602837
0.459834982,0.009064377,0.613346061,0.035698597,0.036577544,0.038579259,0.085473387,0.209379539,0.111888411,0.191948432,0.02728907,0.225003555,0.178447253,0.176913779,0.252369486,0.439513999,0.061987724,0.874897187,0.697246154,0.027621999,0.29458482,0.602839277,0.469858156
0.381003882,0.029751646,0.489428795,0.036598014,0.055880708,0.040418429,0.122899855,0.13793656,0.052985336,0.487029006,0.020211003,0.522552473,1,1,1,1,0.115558383,0.239226495,0.268472308,0.065550215,0.5515618,0.462565489,0.406028369
0.336182128,0.023396135,0.580982409,0.028748505,0.058630845,0.040047982,0.033573502,0.1024104,0.028238218,0.194126064,7.38E-05,0.228545449,0.329807837,0.302842943,0.319948992,0.766860363,0.02241888,0.476357352,0.117812821,0.032306461,0.595421391,0.403751901,0.366312057
0.251086933,0.029751646,0.282837443,0.035346278,0.064062265,0.04483604,0.232797712,0.066057013,0.083890036,1,0.008498713,0.528591777,0.821740421,0.811020689,0.72580816,0.772142983,0.112907783,0.478675023,0.633162564,0.008749393,0.744673248,0.356092615,0.281914894
0.301259324,0.05585256,0.523407956,0.008656314,0.029239189,0.014919752,0.113841048,0.115442222,0.146595531,0.102115554,0.016370979,0.025389535,0.017824458,0.011077103,0.021017255,0.305511534,0,0.452087982,0.611738462,0.219338083,1,0.865472368,0.306205674
0.070130215,0.026032945,0.468520145,0.573926326,0.889741704,0.8167347,0.092799747,0.391801219,0.271491954,0.128784435,0.085023581,0.152795009,0.024724901,0.14526811,0.057109116,0.067001233,0.073311594,0.456968325,0.399691795,0.089365088,0.429666898,0.645766436,0.081560284
0.103087865,0.029682219,0.448626697,0.013156151,0.03815611,0.020176125,0.094631008,0.026966727,0.037700296,0.253039799,0.018263771,0.113096507,0.110724945,0.081209541,0.056909444,0.420672654,0.129502112,0.545552785,0.477198974,0.045170747,0.497634188,0.403413892,0.168439716
0.173256028,0.007916325,0.515184099,0.481026893,0.61429915,0.587973953,0.126466202,0.609525746,0.335375314,0.043215133,0.037198115,0.052842301,0.004385775,0.019851777,0.012580479,0.021482655,0.218988681,0.556843637,0.396834872,0.050865589,0.396608036,0.563292209,0.207978723
0.27573944,0.126394399,0.600481102,0.024291827,0.048893019,0.03341337,0.221930791,0.103846344,0.131013047,0.323385055,0.000655636,0.095474265,0.085691724,0.069311126,0.070730797,0.383430181,0.195985651,0.555200814,0.224801026,0.014793115,0.653643948,0.41963833,0.325886525
0.281382817,0.016725202,0.522429801,0.044140701,0.034315988,0.026779765,0.130586543,0.078167043,0.074118689,0.353467421,0.022474376,0.093585998,0.083325168,0.090095916,0.068717893,0.41001937,0.076795844,0.450720786,0.310876923,0.019322837,0.476753948,0.309447355,0.343971631
0.313890515,0.007508641,0.52093289,0.0559812,0.046492527,0.032819343,0.220991708,0.126313815,0.208430326,0.250798161,0.0036107,0.194024878,0.105236342,0.126809382,0.137706506,0.241239655,0.209781187,0.379735967,0.608651795,0.042614391,0.456137218,0.793814433,0.317375887
0.469308374,0.029751646,0.56937131,0.08514497,0.032728316,0.043340628,0.184040041,0.220580448,0.192101641,0.385631426,0.003445885,0.472367525,0.376138168,0.567262942,0.662447844,0.450167283,0.160967071,0.429690029,0.741987692,0.096324975,0.399221022,0.64035829,0.479432624
0.609707043,0.031579023,0.781249442,0.116211936,0.061112948,0.051271712,0.145207804,0.317162841,0.243104089,0.173451142,0.00913729,0.305319455,0.104850104,0.187233676,0.253919504,0.187444973,0.233325612,0.599634685,0.872833333,0.059082527,0.173063083,0.563968227,0.622340426
0.33316799,0.010710586,0.491167754,0.019108734,0.03374166,0.022619038,0.123429185,0.144642016,0.097029082,0.486092383,0.011566132,0.705691908,0.748685414,0.61185373,0.826309071,0.536362036,0.197377539,0.610093188,0.667519487,0.125291662,0.368604872,0.492407251,0.409202128
0.160188438,0.029751646,0.43994704,0.037263632,0.027822222,0.027931362,0.172544228,0.090284882,0.119546274,0.248902243,6.05E-08,0.305375914,0.127714056,0.128762694,0.104028332,0.187533016,0.230135951,0.478151113,0.553134359,0.007783551,0.423485077,0.849173568,0.16587234
0.160039358,0.029696388,0.399594038,0.013835402,0.036152622,0.018119835,0.212215315,0.111500067,0.176931436,0.332839895,9.98E-05,0.329032095,0.275586237,0.208149896,0.232334971,0.364324705,0.275619573,0.718848712,0.567153333,0.007212553,0.418259645,1,0.154255319
0.083046015,0.010984948,0.381802782,0.05341782,0.017874668,0.038648485,0.146967397,0.071041304,0.049380324,0.280169551,0.033430586,0.412274121,0.206602664,0.243136353,0.179081744,0.249427716,0.119277028,0.666244586,0.445280513,0.007783551,0.344466224,0.740070982,0.092198582
0.105088256,0.027355949,0.467190872,0.134913613,0.027527019,0.058064303,0.129216845,0.011733583,0.092717982,0.13771623,0.001416766,0.150947385,0.118079369,0.240034202,0.145346825,0.399189998,0.213844343,0.408947806,0.526558205,0.227903044,0.45873565,0.841284435,0.110109929
0.021611263,0.012264906,0,0.039162889,0.03277815,0.028805004,0.143217607,0.0124092,0.067672328,0.348240712,0.00534164,0.462353833,0.508241675,0.521961479,0.332364425,0.530551153,0.180252802,0.669306449,0.54050441,0.002579195,0.396406385,0.481155991,0.047728723
0.529011081,0.02896822,0.606685511,0.367915446,0.042151519,0.112924644,0.249649191,0.296114434,0.501591447,0.129636532,0.016830948,0.13943478,0.018984016,0.074852169,0.078240619,0.051065328,0.196731794,0.251198757,0.615049744,0.183936245,0.407756157,0.525097178,0.544858156
0.288500738,0.027480763,0.518456175,0.106479453,0.01096711,0.02717592,0.173643094,0.167975353,0.349792301,0.053235901,0.023944633,0.094018327,0.007138674,0.012523145,0.018704086,0.015935904,0,0.441120882,0.602834359,0.042328893,0.455329071,0.687341558,0.29964539
0.184111805,0.0167659,0.483198203,0.284396628,0.430281296,0.396384684,0.156640834,0.479199713,0.344662357,0.062741753,0.017150891,0.083036059,0.014301441,0.047617762,0.037572043,0.074925163,0.140480334,0.715284814,0.447032667,0.004643065,0.263958769,0.711002197,0.20035461
0.341811953,0.013910412,0.602293493,0.508177053,0.820733419,0.765204875,0.15049529,0.546473042,0.371564002,0.162634926,0.012791449,0.258934613,0.03101103,0.1856505,0.093168055,0.04270118,0.183377814,0.187046638,0.356218462,0.133688475,0.39344197,0.572080446,0.354787234
0.192191973,0.013782255,0.40913504,0.084067325,0.028946551,0.046960565,0.185347507,0.105809982,0.12911499,0.293858001,0.019206903,0.380222009,0.322008744,0.482061519,0.343287721,0.423402007,0.201849332,0.408028175,0.556952308,0.019774496,0.467858811,0.715396316,0.212765957
0.090882232,0.043562663,0.441292258,0.00707641,0.026834981,0.011617336,0.130099311,0.05378453,0.093719896,0.233845329,0,0.213265598,0.16622602,0.106860851,0.098258997,0.353583377,0.045756456,0.471635604,0.522069744,0.017490506,0.437755904,0.733310799,0.107269504
0.607722916,0.002232656,0.638759169,0.053403343,0.027752464,0.029582594,0.075557742,0.305808217,0.185969912,0.125205179,0.013003586,0.181272407,0.072145992,0.085068187,0.13293748,0.192815637,0.268921942,0.877339546,0.488351795,0.015206517,0.150625784,0.535237451,0.620652482
0.276007785,0.029751646,0.518905478,0.157566275,0.01166278,0.096692347,0.167796828,0.127772634,0.220390823,0.156810678,0.019303134,0.181305856,0.081408114,0.182734053,0.15844093,0.225215707,0.316411718,0.330509253,0.539722051,0.176513279,0.32279243,0.693087713,0.288829787
0.46416645,0.014256605,0.630035076,0.093045757,0.0269364,0.044743382,0.083205641,0.191520405,0.168288759,0.09826795,0.002030564,0.137207802,0.038155075,0.061128225,0.071580081,0.128719845,0.173539452,0.876580479,0.641964103,0.061171807,0.206893915,0.498056448,0.484042553
0.203207672,0.004527236,0.513594181,0.047910319,0.022056707,0.02725915,0.129410493,0.146241341,0.118999528,0.433243643,0.109476548,0.410796721,0.276748866,0.309643358,0.326208557,0.334918119,0.066040204,0.657992081,0.693368205,0.062028303,0.340264851,0.815430117,0.200810284
0.637604086,0.019033853,0.627867329,0.113290293,0.023207907,0.070560785,0.247342283,0.317176137,0.343482353,0.204040253,0.007820456,0.197048721,0.076385863,0.138157808,0.188676677,0.182602571,0.224029418,0.220421534,0.642100513,0.057174825,0.244897824,0.49295927,0.652815603
0.578847363,0.122644914,0.806221125,0.008841307,0.017598259,0.009657104,0,0.218082584,0.068162914,0.100069786,0.003517204,0.11104416,0.02686702,0.019103987,0.032420343,0.1098785,0.337185329,0.657317233,0.129370256,0.032621937,0.189370339,0.053912456,0.637056738
